method,board,nodes,solve_length,opt_solve,solve_time
A*_simple,GBB.L.GHI.LMGHIAAMCCCK.M..JKDDEEJFF.,1911,78,51,0.17605066299438477
A*_simple,..IBBB..IK..AAJK.LCCJDDLGHEE.LGHFF..,3859,99,50,0.2984910011291504
A*_simple,BBBKLMHCCKLMH.AALMDDJ....IJEE..IFFGG,9538,94,49,1.495342493057251
A*_simple,...JBB.CCJL.AAIKL.DDIKEEHFFF.MH.GG.M,1209,90,49,0.10136294364929199
A*_simple,...JBB.CCJL.AAIKL.DDIKEEHFFF.MHGGG.M,739,96,49,0.05844879150390625
A*_simple,..HBBB..HJ..AAIJ.KCCIDDK.GEE.K.GFF..,1843,93,49,0.1317887306213379
A*_simple,BBBKLMHCCKLMH.AAL.DDJ....IJEE..IFFGG,17007,95,48,2.4812071323394775
A*_simple,G..BBBGCCJ.KAAHJ.K..HDDK..IEE...IFFF,1846,96,48,0.13579869270324707
A*_simple,..HBBB..HJ..AAIJ.KCCIDDKFGEE.KFG....,1687,81,48,0.11750388145446777
A*_simple,BBCCL...J.LMI.JAAMIDDEEM.FFK..GGGKHH,2096,85,47,0.17016220092773438
A*_simple,BBJCC.DDJ.LMIAA.LMIEEELMI..KFFGG.KHH,896,61,47,0.07270693778991699
A*_simple,...IBB.CCIK.AAHJK.DDHJEEGFFF.LG....L,384,86,47,0.026702165603637695
A*_simple,..GBBB..GI..AAHI.JCCHDDJ.FEE.J.F....,725,75,47,0.04631948471069336
A*_simple,BBBKL.HCCKL.H.AAL.DDJ....IJEE..IFFGG,6935,89,46,0.6931664943695068
A*_simple,BBH..LG.HCCLG.AAJMDD.IJMEEEIK.FFFIK.,2932,80,46,0.47897863388061523
A*_simple,H.BBBMHCCJLMAAIJLNDDIKLN...KEE.FFGG.,4163,77,46,0.40186548233032227
A*_simple,BBCCLM..J.LMI.JAAMIDDKEE.FFK..GGHHH.,2412,81,46,0.20444679260253906
A*_simple,BBJCC.DDJ.L.IAA.LMIEEELMI..KFFGG.KHH,1397,62,46,0.12034225463867188
A*_simple,BBICC.DDI.KLHAA.KLHEEEKLH..J..FF.JGG,1697,59,46,0.14919543266296387
A*_simple,BBICCC..I..KAAI..KHDDEEKHFFJ..GG.J..,631,81,46,0.03927946090698242
A*_simple,BBBCCMDD...MIAA..MIJEEFFIJKLGGHHKL..,837,65,46,0.2525770664215088
A*_simple,EGBBKLEGH.KLF.HAAMFCCJ.MF.IJ.M..IDDD,474,69,46,0.03192543983459473
A*_simple,BBH..LG.HCCLG.AAJMDD.IJMEEEIK.FF.IK.,4539,78,45,0.46317386627197266
A*_simple,GBBB..GCCC.LAAHIKLDDHIKL...JEE.FFJ..,2546,86,45,0.25159692764282227
A*_simple,GBBB..GCCCK.AAHIKLDDHIKL...JEE.FFJ..,4445,86,45,0.6178162097930908
A*_simple,GBBB..GCCCKLAAHIKLDDHIKL...JEE.FFJ..,2509,85,45,0.2273082733154297
A*_simple,BBICC.DDI.K.HAA.KLHEEEKLH..J..FF.JGG,2423,60,45,0.22153711318969727
A*_simple,BBICC.H.I.KLHAA.KLHDDDKL...JEEFF.JGG,613,60,45,0.046875953674316406
A*_simple,..HBBL..HI.LAAHIKLGCCCK.GDDJ..EE.JFF,2159,90,45,0.17414450645446777
A*_simple,FBBIJKF.GIJKAAGI.LCCDD.L..H.....HEEE,363,67,45,0.02697610855102539
A*_simple,G.BB..GCCC.LAAHIKLDDHIKL...JEE.FFJ..,4584,83,44,0.6777071952819824
A*_simple,GBB.LMGHI.LMGHIAANCCJK.N..JKDD.EEFF.,2627,65,44,0.2262125015258789
A*_simple,G.BB..GCCCK.AAHIKLDDHIKL...JEE.FFJ..,7552,83,44,0.9866688251495361
A*_simple,BBH..LG.HCCLG.AAJLDD.IJ.EEEIK.FF.IK.,4698,77,44,0.6656856536865234
A*_simple,H.BBBMHCCJLMAAIJLMDDIKL....KEE.FFGG.,6002,82,44,0.5739831924438477
A*_simple,G.BB..GCCCKLAAHIKLDDHIKL...JEE.FFJ..,4334,82,44,0.6267247200012207
A*_simple,BBH..LG.HCCLG.AAJLDD.IJ.EEEIK.FFFIK.,2925,78,44,0.2675609588623047
A*_simple,H.BBCCHDDD.LAAIJ.L..IJEE.FFFKM.GGGKM,3084,77,44,0.29845762252807617
A*_simple,BBG..KF.GCCKF.AAILDD.HILEEEHJ....HJ.,1571,74,44,0.13515162467956543
A*_simple,IBBCCCI.DDLMAAJ.LMEEJFFM.GGK..HHHK..,1950,76,44,0.1645946502685547
A*_simple,HBBBCCHIDD.LHIAA.LEEEK.L..JKFFGGJ...,1749,60,44,0.1459031105041504
A*_simple,BBICC.H.I.K.HAA.KLHDDDKL...JEEFF.JGG,970,61,44,0.07842874526977539
A*_simple,BBHCC.G.H.JKGAA.JKGDDDJK...I..EE.IFF,906,58,44,0.07416534423828125
A*_simple,BBJCC.DDJ.L.IAA.L.IEEEL.I..KFFGG.KHH,639,57,44,0.0483393669128418
A*_simple,BBBCCLH....LHAA..LHIDDEE.IJKFFGGJK..,389,59,44,0.02441239356994629
A*_simple,H.BBBMHCCJLMAAIJL.DDIKL....KEE.FFGG.,7539,86,43,0.9610917568206787
A*_simple,BBH..LG.HCCLG.AAJ.DD.IJ.EEEIK.FFFIK.,3214,77,43,0.5029764175415039
A*_simple,H.BBCCHDDD.LAAIJ.L..IJEE.FFFKM..GGKM,4605,75,43,0.46245861053466797
A*_simple,BBI.CC..IDDLAAJ..LH.JEEMHFFK.MHGGK..,2319,82,43,0.1790459156036377
A*_simple,.HBBCC.H.JDDAA.JK.GEEEK.G.I.KLG.IFFL,4752,63,43,0.6558225154876709
A*_simple,GBBB..GCCC.KAAHI.KDDHI.K...JEE.FFJ..,2475,81,43,0.20838379859924316
A*_simple,..GBBK..GH.KAAGHJKFCCCJ.FDDI..EE.I..,3145,98,43,0.2541630268096924
A*_simple,G..BBBG..I.LAA.IKLCCCJKL..HJDDEEHFF.,2392,88,43,0.20999646186828613
A*_simple,.HBBCC.H.JDDAA.JK.GEEEKLG.I.KLG.IFFL,3263,67,43,0.49246668815612793
A*_simple,GBBB..GCCCK.AAHIK.DDHIK....JEE.FFJ..,1839,81,43,0.14263463020324707
A*_simple,BBHCC.G.H.J.GAA.JKGDDDJK...I..EE.IFF,1254,59,43,0.10569095611572266
A*_simple,..GBBB..G..KAAHIJKCCHIJLFDD..LFEEE.L,721,69,43,0.07261395454406738
A*_simple,BBCCCMDDK..MI.KAAMI..LEEJ..LFFJGGHHH,877,64,43,0.07713770866394043
A*_simple,..HBBK..HI.KAAHI.KGCCC..GDDJ..EE.JFF,1009,88,43,0.07225489616394043
A*_simple,BBICC.DDI.K.HAA.K.HEEEK.H..J..FF.JGG,780,55,43,0.05895829200744629
A*_simple,BBHCCC..H..JAAH..JGDDEEJGFFI.....I..,252,71,43,0.014192342758178711
A*_simple,BBH..LG.HCCLG.AAJ.DD.IJ.EEEIK.FF.IK.,5289,75,42,0.5350990295410156
A*_simple,H.BBCCH.DD.KAAI..K..IEELFFIJ.LGGGJ..,4176,76,42,0.5736794471740723
A*_simple,FBB.K.FGH.KLFGHAALCCCJ.L..IJDDEEI...,2999,73,42,0.2543816566467285
A*_simple,..HBBB..H...AAIJKLCCIJKLFGDD.LFGEEE.,5238,80,42,0.7027320861816406
A*_simple,BBB..K..H..K..HAAKCCIJ..FGIJDDFGEEE.,3898,76,42,0.3226196765899658
A*_simple,G.BB..GCCC.KAAHI.KDDHI.K...JEE.FFJ..,4104,76,42,0.3688974380493164
