method,board,nodes,solve_length,opt_solve,solve_time
A*_zero,GBB.L.GHI.LMGHIAAMCCCK.M..JKDDEEJFF.,2620,78,51,0.3615875244140625
A*_zero,..IBBB..IK..AAJK.LCCJDDLGHEE.LGHFF..,3603,78,50,0.2876760959625244
A*_zero,BBBKLMHCCKLMH.AALMDDJ....IJEE..IFFGG,15529,88,49,1.9174914360046387
A*_zero,...JBB.CCJL.AAIKL.DDIKEEHFFF.MH.GG.M,2487,81,49,0.1750173568725586
A*_zero,...JBB.CCJL.AAIKL.DDIKEEHFFF.MHGGG.M,1598,82,49,0.10937309265136719
A*_zero,..HBBB..HJ..AAIJ.KCCIDDK.GEE.K.GFF..,1782,74,49,0.2994499206542969
A*_zero,BBBKLMHCCKLMH.AAL.DDJ....IJEE..IFFGG,22330,85,48,2.7653579711914062
A*_zero,G..BBBGCCJ.KAAHJ.K..HDDK..IEE...IFFF,3399,72,48,0.4142310619354248
A*_zero,..HBBB..HJ..AAIJ.KCCIDDKFGEE.KFG....,1730,73,48,0.09777379035949707
A*_zero,BBCCL...J.LMI.JAAMIDDEEM.FFK..GGGKHH,4777,69,47,0.3489859104156494
A*_zero,BBJCC.DDJ.LMIAA.LMIEEELMI..KFFGG.KHH,1927,61,47,0.13844656944274902
A*_zero,...IBB.CCIK.AAHJK.DDHJEEGFFF.LG....L,710,78,47,0.04158949851989746
A*_zero,..GBBB..GI..AAHI.JCCHDDJ.FEE.J.F....,767,69,47,0.04030346870422363
A*_zero,BBBKL.HCCKL.H.AAL.DDJ....IJEE..IFFGG,7768,83,46,0.8525121212005615
A*_zero,BBH..LG.HCCLG.AAJMDD.IJMEEEIK.FFFIK.,8445,78,46,0.97991943359375
A*_zero,H.BBBMHCCJLMAAIJLNDDIKLN...KEE.FFGG.,6931,75,46,0.5782225131988525
A*_zero,BBCCLM..J.LMI.JAAMIDDKEE.FFK..GGHHH.,5112,67,46,0.58412766456604
A*_zero,BBJCC.DDJ.L.IAA.LMIEEELMI..KFFGG.KHH,2892,60,46,0.2205054759979248
A*_zero,BBICC.DDI.KLHAA.KLHEEEKLH..J..FF.JGG,2051,59,46,0.1456129550933838
A*_zero,BBICCC..I..KAAI..KHDDEEKHFFJ..GG.J..,994,73,46,0.056868553161621094
A*_zero,BBBCCMDD...MIAA..MIJEEFFIJKLGGHHKL..,1092,65,46,0.07045984268188477
A*_zero,EGBBKLEGH.KLF.HAAMFCCJ.MF.IJ.M..IDDD,769,69,46,0.04361128807067871
A*_zero,BBH..LG.HCCLG.AAJMDD.IJMEEEIK.FF.IK.,11724,76,45,1.3365836143493652
A*_zero,GBBB..GCCC.LAAHIKLDDHIKL...JEE.FFJ..,9514,82,45,0.9484362602233887
A*_zero,GBBB..GCCCK.AAHIKLDDHIKL...JEE.FFJ..,8551,84,45,0.8676345348358154
A*_zero,GBBB..GCCCKLAAHIKLDDHIKL...JEE.FFJ..,5797,85,45,0.4325289726257324
A*_zero,BBICC.DDI.K.HAA.KLHEEEKLH..J..FF.JGG,2943,58,45,0.21878957748413086
A*_zero,BBICC.H.I.KLHAA.KLHDDDKL...JEEFF.JGG,2100,60,45,0.15694117546081543
A*_zero,..HBBL..HI.LAAHIKLGCCCK.GDDJ..EE.JFF,2237,76,45,0.1461200714111328
A*_zero,FBBIJKF.GIJKAAGI.LCCDD.L..H.....HEEE,973,59,45,0.058419227600097656
A*_zero,G.BB..GCCC.LAAHIKLDDHIKL...JEE.FFJ..,14255,77,44,1.6404826641082764
A*_zero,GBB.LMGHI.LMGHIAANCCJK.N..JKDD.EEFF.,3111,65,44,0.22381067276000977
A*_zero,G.BB..GCCCK.AAHIKLDDHIKL...JEE.FFJ..,13111,79,44,1.294144630432129
A*_zero,BBH..LG.HCCLG.AAJLDD.IJ.EEEIK.FF.IK.,11615,73,44,1.2557764053344727
A*_zero,H.BBBMHCCJLMAAIJLMDDIKL....KEE.FFGG.,10255,74,44,1.044255256652832
A*_zero,G.BB..GCCCKLAAHIKLDDHIKL...JEE.FFJ..,8771,80,44,0.9083588123321533
A*_zero,BBH..LG.HCCLG.AAJLDD.IJ.EEEIK.FFFIK.,7771,74,44,0.6489641666412354
A*_zero,H.BBCCHDDD.LAAIJ.L..IJEE.FFFKM.GGGKM,5036,69,44,0.6127946376800537
A*_zero,BBG..KF.GCCKF.AAILDD.HILEEEHJ....HJ.,3995,72,44,0.3195476531982422
