method,board,nodes,solve_length,opt_solve,solve_time
BFS,GBB.L.GHI.LMGHIAAMCCCK.M..JKDDEEJFF.,2620,79,51,0.11606955528259277
BFS,..IBBB..IK..AAJK.LCCJDDLGHEE.LGHFF..,3598,79,50,0.1364915370941162
BFS,BBBKLMHCCKLMH.AALMDDJ....IJEE..IFFGG,15524,89,49,0.7767071723937988
BFS,...JBB.CCJL.AAIKL.DDIKEEHFFF.MH.GG.M,2469,82,49,0.10511541366577148
BFS,...JBB.CCJL.AAIKL.DDIKEEHFFF.MHGGG.M,1585,83,49,0.06665205955505371
BFS,..HBBB..HJ..AAIJ.KCCIDDK.GEE.K.GFF..,1778,75,49,0.0632314682006836
BFS,BBBKLMHCCKLMH.AAL.DDJ....IJEE..IFFGG,21492,86,48,1.3847911357879639
BFS,G..BBBGCCJ.KAAHJ.K..HDDK..IEE...IFFF,3392,73,48,0.13167357444763184
BFS,..HBBB..HJ..AAIJ.KCCIDDKFGEE.KFG....,1735,74,48,0.06113743782043457
BFS,BBCCL...J.LMI.JAAMIDDEEM.FFK..GGGKHH,4774,70,47,0.20476984977722168
BFS,BBJCC.DDJ.LMIAA.LMIEEELMI..KFFGG.KHH,1931,62,47,0.08451104164123535
BFS,...IBB.CCIK.AAHJK.DDHJEEGFFF.LG....L,702,79,47,0.026369810104370117
BFS,..GBBB..GI..AAHI.JCCHDDJ.FEE.J.F....,773,70,47,0.025943279266357422
BFS,BBBKL.HCCKL.H.AAL.DDJ....IJEE..IFFGG,7846,84,46,0.35813021659851074
BFS,BBH..LG.HCCLG.AAJMDD.IJMEEEIK.FFFIK.,8468,79,46,0.4135777950286865
BFS,H.BBBMHCCJLMAAIJLNDDIKLN...KEE.FFGG.,6898,76,46,0.3199269771575928
BFS,BBCCLM..J.LMI.JAAMIDDKEE.FFK..GGHHH.,5121,68,46,0.23015618324279785
BFS,BBJCC.DDJ.L.IAA.LMIEEELMI..KFFGG.KHH,2898,61,46,0.12953424453735352
BFS,BBICC.DDI.KLHAA.KLHEEEKLH..J..FF.JGG,2053,60,46,0.08634424209594727
BFS,BBICCC..I..KAAI..KHDDEEKHFFJ..GG.J..,997,74,46,0.03499245643615723
BFS,BBBCCMDD...MIAA..MIJEEFFIJKLGGHHKL..,1102,66,46,0.04400229454040527
BFS,EGBBKLEGH.KLF.HAAMFCCJ.MF.IJ.M..IDDD,770,70,46,0.028888940811157227
BFS,BBH..LG.HCCLG.AAJMDD.IJMEEEIK.FF.IK.,11734,77,45,0.5837538242340088
BFS,GBBB..GCCC.LAAHIKLDDHIKL...JEE.FFJ..,9436,83,45,0.7134490013122559
BFS,GBBB..GCCCK.AAHIKLDDHIKL...JEE.FFJ..,8518,85,45,0.3742825984954834
BFS,GBBB..GCCCKLAAHIKLDDHIKL...JEE.FFJ..,5782,86,45,0.24741530418395996
BFS,BBICC.DDI.K.HAA.KLHEEEKLH..J..FF.JGG,2946,59,45,0.1272726058959961
BFS,BBICC.H.I.KLHAA.KLHDDDKL...JEEFF.JGG,2115,61,45,0.0936286449432373
BFS,..HBBL..HI.LAAHIKLGCCCK.GDDJ..EE.JFF,2244,77,45,0.09348201751708984
BFS,FBBIJKF.GIJKAAGI.LCCDD.L..H.....HEEE,973,60,45,0.039522409439086914
BFS,G.BB..GCCC.LAAHIKLDDHIKL...JEE.FFJ..,14438,78,44,0.6776726245880127
BFS,GBB.LMGHI.LMGHIAANCCJK.N..JKDD.EEFF.,3041,66,44,0.13794946670532227
BFS,G.BB..GCCCK.AAHIKLDDHIKL...JEE.FFJ..,13259,80,44,0.6108653545379639
BFS,BBH..LG.HCCLG.AAJLDD.IJ.EEEIK.FF.IK.,11605,74,44,0.5461745262145996
BFS,H.BBBMHCCJLMAAIJLMDDIKL....KEE.FFGG.,10172,75,44,0.47484421730041504
BFS,G.BB..GCCCKLAAHIKLDDHIKL...JEE.FFJ..,8880,81,44,0.6813080310821533
BFS,BBH..LG.HCCLG.AAJLDD.IJ.EEEIK.FFFIK.,7773,75,44,0.35637903213500977
BFS,H.BBCCHDDD.LAAIJ.L..IJEE.FFFKM.GGGKM,5047,70,44,0.2279210090637207
BFS,BBG..KF.GCCKF.AAILDD.HILEEEHJ....HJ.,4003,73,44,0.17734456062316895
BFS,IBBCCCI.DDLMAAJ.LMEEJFFM.GGK..HHHK..,2807,65,44,0.12150764465332031
BFS,HBBBCCHIDD.LHIAA.LEEEK.L..JKFFGGJ...,2096,61,44,0.08796000480651855
