method,board,nodes,solve_length,opt_solve,solve_time
BFS,GBB.L.GHI.LMGHIAAMCCCK.M..JKDDEEJFF.,2620,79,51,0.22381973266601562
BFS,..IBBB..IK..AAJK.LCCJDDLGHEE.LGHFF..,3598,79,50,0.2536594867706299
BFS,BBBKLMHCCKLMH.AALMDDJ....IJEE..IFFGG,15524,89,49,1.5902888774871826
BFS,...JBB.CCJL.AAIKL.DDIKEEHFFF.MH.GG.M,2469,82,49,0.19208168983459473
BFS,...JBB.CCJL.AAIKL.DDIKEEHFFF.MHGGG.M,1585,83,49,0.13295578956604004
BFS,..HBBB..HJ..AAIJ.KCCIDDK.GEE.K.GFF..,1778,75,49,0.12006640434265137
BFS,BBBKLMHCCKLMH.AAL.DDJ....IJEE..IFFGG,21492,86,48,2.5132570266723633
BFS,G..BBBGCCJ.KAAHJ.K..HDDK..IEE...IFFF,3392,73,48,0.25281667709350586
BFS,..HBBB..HJ..AAIJ.KCCIDDKFGEE.KFG....,1735,74,48,0.11246609687805176
BFS,BBCCL...J.LMI.JAAMIDDEEM.FFK..GGGKHH,4774,70,47,0.3923778533935547
BFS,BBJCC.DDJ.LMIAA.LMIEEELMI..KFFGG.KHH,1931,62,47,0.1658620834350586
BFS,...IBB.CCIK.AAHJK.DDHJEEGFFF.LG....L,702,79,47,0.04882478713989258
BFS,..GBBB..GI..AAHI.JCCHDDJ.FEE.J.F....,773,70,47,0.047368526458740234
BFS,BBBKL.HCCKL.H.AAL.DDJ....IJEE..IFFGG,7846,84,46,0.6719217300415039
BFS,BBH..LG.HCCLG.AAJMDD.IJMEEEIK.FFFIK.,8468,79,46,0.7776172161102295
BFS,H.BBBMHCCJLMAAIJLNDDIKLN...KEE.FFGG.,6898,76,46,0.5971643924713135
BFS,BBCCLM..J.LMI.JAAMIDDKEE.FFK..GGHHH.,5121,68,46,0.41532015800476074
BFS,BBJCC.DDJ.L.IAA.LMIEEELMI..KFFGG.KHH,2898,61,46,0.23040390014648438
BFS,BBICC.DDI.KLHAA.KLHEEEKLH..J..FF.JGG,2053,60,46,0.14839482307434082
BFS,BBICCC..I..KAAI..KHDDEEKHFFJ..GG.J..,997,74,46,0.05052995681762695
BFS,BBBCCMDD...MIAA..MIJEEFFIJKLGGHHKL..,1102,66,46,0.06386184692382812
BFS,EGBBKLEGH.KLF.HAAMFCCJ.MF.IJ.M..IDDD,770,70,46,0.047150373458862305
BFS,BBH..LG.HCCLG.AAJMDD.IJMEEEIK.FF.IK.,11734,77,45,0.6482667922973633
BFS,GBBB..GCCC.LAAHIKLDDHIKL...JEE.FFJ..,9436,83,45,0.6093199253082275
BFS,GBBB..GCCCK.AAHIKLDDHIKL...JEE.FFJ..,8518,85,45,0.3727743625640869
BFS,GBBB..GCCCKLAAHIKLDDHIKL...JEE.FFJ..,5782,86,45,0.25908684730529785
BFS,BBICC.DDI.K.HAA.KLHEEEKLH..J..FF.JGG,2946,59,45,0.12502455711364746
BFS,BBICC.H.I.KLHAA.KLHDDDKL...JEEFF.JGG,2115,61,45,0.0915074348449707
