method,board,nodes,solve_length,opt_solve,solve_time
A*_zero,GBB.L.GHI.LMGHIAAMCCCK.M..JKDDEEJFF.,2620,79,51,0.19407439231872559
A*_zero,..IBBB..IK..AAJK.LCCJDDLGHEE.LGHFF..,3603,79,50,0.22527003288269043
A*_zero,BBBKLMHCCKLMH.AALMDDJ....IJEE..IFFGG,15529,89,49,1.9620864391326904
A*_zero,...JBB.CCJL.AAIKL.DDIKEEHFFF.MH.GG.M,2487,82,49,0.17974305152893066
A*_zero,...JBB.CCJL.AAIKL.DDIKEEHFFF.MHGGG.M,1598,83,49,0.1121516227722168
A*_zero,..HBBB..HJ..AAIJ.KCCIDDK.GEE.K.GFF..,1782,75,49,0.31043004989624023
A*_zero,BBBKLMHCCKLMH.AAL.DDJ....IJEE..IFFGG,22330,86,48,2.865826368331909
A*_zero,G..BBBGCCJ.KAAHJ.K..HDDK..IEE...IFFF,3399,73,48,0.41631245613098145
A*_zero,..HBBB..HJ..AAIJ.KCCIDDKFGEE.KFG....,1730,74,48,0.09838342666625977
A*_zero,BBCCL...J.LMI.JAAMIDDEEM.FFK..GGGKHH,4777,70,47,0.3565068244934082
A*_zero,BBJCC.DDJ.LMIAA.LMIEEELMI..KFFGG.KHH,1927,62,47,0.1420118808746338
A*_zero,...IBB.CCIK.AAHJK.DDHJEEGFFF.LG....L,710,79,47,0.042554378509521484
A*_zero,..GBBB..GI..AAHI.JCCHDDJ.FEE.J.F....,767,70,47,0.04069113731384277
A*_zero,BBBKL.HCCKL.H.AAL.DDJ....IJEE..IFFGG,7768,84,46,0.8869905471801758
A*_zero,BBH..LG.HCCLG.AAJMDD.IJMEEEIK.FFFIK.,8445,79,46,0.9837827682495117
A*_zero,H.BBBMHCCJLMAAIJLNDDIKLN...KEE.FFGG.,6931,76,46,0.5843589305877686
A*_zero,BBCCLM..J.LMI.JAAMIDDKEE.FFK..GGHHH.,5112,68,46,0.5838301181793213
A*_zero,BBJCC.DDJ.L.IAA.LMIEEELMI..KFFGG.KHH,2892,61,46,0.22481465339660645
A*_zero,BBICC.DDI.KLHAA.KLHEEEKLH..J..FF.JGG,2051,60,46,0.14866995811462402
A*_zero,BBICCC..I..KAAI..KHDDEEKHFFJ..GG.J..,994,74,46,0.05795407295227051
A*_zero,BBBCCMDD...MIAA..MIJEEFFIJKLGGHHKL..,1092,66,46,0.06986069679260254
A*_zero,EGBBKLEGH.KLF.HAAMFCCJ.MF.IJ.M..IDDD,769,70,46,0.044052839279174805
A*_zero,BBH..LG.HCCLG.AAJMDD.IJMEEEIK.FF.IK.,11724,77,45,1.362039566040039
A*_zero,GBBB..GCCC.LAAHIKLDDHIKL...JEE.FFJ..,9514,83,45,0.9974217414855957
A*_zero,GBBB..GCCCK.AAHIKLDDHIKL...JEE.FFJ..,8551,85,45,1.0327811241149902
A*_zero,GBBB..GCCCKLAAHIKLDDHIKL...JEE.FFJ..,5797,86,45,0.4973139762878418
A*_zero,BBICC.DDI.K.HAA.KLHEEEKLH..J..FF.JGG,2943,59,45,0.21912384033203125
A*_zero,BBICC.H.I.KLHAA.KLHDDDKL...JEEFF.JGG,2100,61,45,0.15881800651550293
A*_zero,..HBBL..HI.LAAHIKLGCCCK.GDDJ..EE.JFF,2237,77,45,0.14679813385009766
A*_zero,FBBIJKF.GIJKAAGI.LCCDD.L..H.....HEEE,973,60,45,0.06087064743041992
A*_zero,G.BB..GCCC.LAAHIKLDDHIKL...JEE.FFJ..,14255,78,44,1.6638846397399902
A*_zero,GBB.LMGHI.LMGHIAANCCJK.N..JKDD.EEFF.,3111,66,44,0.22948002815246582
A*_zero,G.BB..GCCCK.AAHIKLDDHIKL...JEE.FFJ..,13111,80,44,1.3295085430145264
A*_zero,BBH..LG.HCCLG.AAJLDD.IJ.EEEIK.FF.IK.,11615,74,44,1.2684755325317383
A*_zero,H.BBBMHCCJLMAAIJLMDDIKL....KEE.FFGG.,10255,75,44,1.0408551692962646
A*_zero,G.BB..GCCCKLAAHIKLDDHIKL...JEE.FFJ..,8771,81,44,0.9043200016021729
A*_zero,BBH..LG.HCCLG.AAJLDD.IJ.EEEIK.FFFIK.,7771,75,44,0.6584639549255371
